id,nama,email,no_hp,tanggal_daftar,status
65,Zaki Permana,z.permana@outlook.com,08183704088,2025-01-13,banned
67,bella Wibowo,b.wibowo@yahoo.com,08059237205,2025-04-17,BANNED
69,LUKMAN PUTRI,l.putri@gmail.com,08880338083,03/06/24,banned
70,Umar Aulia,umar.aulia@yahoo.com,08197343448,18-05-25,inactive
71,Wawan Putri,wawan.put71@outlook.com,08357876732,20-05-24,Active
72,Gani Syahputra,gani.sya72@outlook.com,08028744595,13-05-24,BANNED
73,Hendra Hakim,hendra_haki@outlook.com,08492333992,23/09/2024,inactive
74,Bella Yuliana,b.yuliana@mail.com,08160080291,2025-02-17,actve
75,Putri Setiadi,p.setiadi@hotmail.com,08485268872,24-07-24,aktive
76,Lukman Hamzah,lukman.hamzah@mail.com,08705769042,07/02/25,ACTIVE
78,Intan Pangestu,intan_pang@yahoo.com,08268622536,2024-12-15,BANNED
79,Okta Rahmawati,okta.rah79@hotmail.com,08742154928,18/02/25,Active
80,maman Putri,maman80@yahoo.com,08590419045,22-09-2024,actve
81,Hendra Puspita,hendra.pus81@yahoo.com,08905062844,23-01-2025,ACTIVE
82,NINA RAMADHANI,nina82@outlook.com,08188054160,23/06/2024,INACTIVE
83,Candra Setiadi,candra83@mail.com,08117287197,23/09/2024,ACTIVE
84,Indra Syahputra,i.syahputra@gmail.com,08370236335,25/06/24,active
86,Umar Kurniawan,umar.kurniawan@outlook.com,08181148149,06/06/25,ACTIVE
87,Joko Pangestu,j.pangestu@yahoo.com,08826494802,29/04/25,aktive
89,Rian Pratama,rian_prat@mail.com,08304787634,05-07-24,active
90,PUTRI PRATAMA,putri90@yahoo.com,08029379264,25-05-25,ACTIVE
91,Dedi Putri,d.putri@outlook.com,08199025132,01/05/2025,active
92,Nina Hamzah,nina.hamzah@gmail.com,08167550213,30/04/2025,Active
93,Oki Maharani,o.maharani@outlook.com,08023286894,12/07/2024,BANNED
94,Gani Anggraini,gani.anggraini@gmail.com,08027158799,21/02/2025,ACTIVE
95,Lukman Hakim,l.hakim@outlook.com,08077839951,27/05/2025,BANNED
96,Gani Wijaya,gani.wijaya@yahoo.com,08937453638,18/05/24,actve
97,Wawan Saputra,wawan.sap97@hotmail.com,08782262854,25/06/25,INACTIVE
98,Galih Kusuma,galih.kusuma@hotmail.com,08928144144,2025-06-29,inactve
100,Jihan Putri,jihan.putri@mail.com,08903991305,2024-05-15,inactive
101,Dedi Saputra,dedi101@gmail.com,08722578307,22-06-24,baned
103,Dedi Pratama,dedi103@outlook.com,08225225493,08-04-25,active
104,GALIH MAULANA,galih104@gmail.com,08920902671,28/06/2024,baned
105,lina Aulia,lina.aul5@outlook.com,08343072646,15-12-2024,BANNED
106,nina gunawan,nina.gunawan@gmail.com,08223610950,06-11-24,baned
107,ANI YULIANA,ani.yuliana@gmail.com,08079910344,24/03/25,Active
108,Jihan Permana,jihan_perm@yahoo.com,08595024356,2025-04-10,banned
109,Asep Handayani,a.handayani@yahoo.com,08632112017,2024-08-29,inactive
111,Yani Hamzah,yani111@hotmail.com,08342007187,31-01-2025,BANNED
112,Vina Hamzah,vina_hamz@hotmail.com,08841024872,2025-04-25,BANNED
113,Intan Putri,intan.put13@outlook.com,08760919045,23/01/2025,inactve
114,Bella Pangestu,b.pangestu@gmail.com,08131510327,17-06-2025,ACTIVE
115,kiki permana,kiki_perm@mail.com,08386575056,22/04/25,inactve
116,Zaki Setiadi,zaki.setiadi@mail.com,08958165674,01/07/2025,ACTIVE
117,cici setiadi,cici117@outlook.com,08408447094,23-08-24,inactive
118,Eka Aulia,eka.aulia@gmail.com,08557762983,01-01-2025,inactive
120,Joko Siregar,joko_sire@outlook.com,08123132150,22-01-25,banned
122,Indra Putri,i.putri@hotmail.com,08772139707,15-05-24,INACTIVE
123,Nando Aulia,nando.aulia@hotmail.com,08323121784,04/10/24,banned
124,Vina Gunawan,vina_guna@outlook.com,08369911857,11-12-24,INACTIVE
125,hendra Wijaya,hendra.wijaya@outlook.com,08741446429,13/01/2025,BANNED
126,INDRA KURNIAWAN,indra_kurn@yahoo.com,08470420555,2025-01-19,banned
127,Asep Siregar,a.siregar@outlook.com,08895380462,07/01/25,active
128,Teguh Setiadi,teguh_seti@outlook.com,08559354689,19/05/2024,actve
129,Kartika Saputra,kartika.saputra@hotmail.com,08511866579,30-11-2024,banned
130,dedi permana,dedi_perm@gmail.com,08785435949,2024-05-30,inactve
131,Nando Saputra,nando.sap31@gmail.com,08516798355,10/06/25,INACTIVE
133,wawan Wijaya,w.wijaya@gmail.com,08476280105,30-05-2024,inactve
134,Fajar Siregar,fajar.sir34@gmail.com,08886100528,19/03/25,inactve
135,Oki Maharani,oki_maha@hotmail.com,08212174777,14-04-25,ACTIVE
137,Lukman Santoso,lukman_sant@gmail.com,08902412062,10/03/2025,aktive
138,ERWIN WIJAYA,erwin138@mail.com,08332909808,23-06-2025,inactve
139,Cici Kurniawan,c.kurniawan@gmail.com,08162365799,25-07-2024,active
140,lina siregar,lina.siregar@gmail.com,08603190432,2024-09-04,actve
141,wawan siregar,wawan.siregar@outlook.com,08840577500,02-04-2025,active
142,Wawan Kusuma,wawan_kusu@outlook.com,08792926793,25-08-24,Active
144,Ani Kurniawan,ani144@mail.com,08083537640,19-05-25,Active
145,Jihan Kusuma,jihan.kus45@yahoo.com,08645096910,2025-06-03,Active
146,Erwin Heryani,erwin_hery@hotmail.com,08842256601,2024-12-13,aktive
147,Dedi Maharani,dedi_maha@outlook.com,08747811342,09-04-25,inactive
148,Lina Kusuma,l.kusuma@hotmail.com,08725107997,24/07/24,banned
149,Budi Yuliana,b.yuliana@gmail.com,08439662973,04/05/2025,actve
150,Jihan Hakim,jihan.hakim@outlook.com,08251577784,23/06/25,baned
151,joko aulia,joko.aul51@yahoo.com,08125819637,02/06/25,ACTIVE
152,Lukman Siregar,lukman152@yahoo.com,08782476172,19/09/2024,inactve
155,Galih Hamzah,g.hamzah@outlook.com,08768115735,17/11/2024,inactve
156,Asep Firmansyah,a.firmansyah@mail.com,08532568661,2025-04-04,actve
157,KIKI HAMZAH,kiki_hamz@outlook.com,08322893837,17/06/24,ACTIVE
158,Budi Maharani,budi158@mail.com,08522018249,06-04-25,BANNED
159,Dian Ramadhani,dian.ramadhani@mail.com,08123059428,09-03-2025,INACTIVE
160,Hani Wibowo,h.wibowo@gmail.com,08585513030,2024-12-31,actve
161,Candra Pangestu,candra161@gmail.com,08840892782,2024-06-25,Active
162,galih maharani,galih.maharani@outlook.com,08804498265,13/11/2024,banned
163,intan Santoso,intan.santoso@gmail.com,08993266779,08-09-2024,ACTIVE
164,indra Puspita,i.puspita@yahoo.com,08877685813,26/04/25,inactive
166,JIHAN LESTARI,j.lestari@outlook.com,08606343889,17/11/2024,banned
167,RIAN PUSPITA,r.puspita@hotmail.com,08127044182,09-01-25,ACTIVE
168,Cici Yuliana,cici168@gmail.com,08979469982,01-07-2025,banned
169,Umar Wijaya,umar_wija@yahoo.com,08396615451,2025-04-10,aktive
171,Qori Hamzah,qori171@mail.com,08225237565,29-09-24,actve
172,Dian Ramadhani,dian.ramadhani@hotmail.com,08852629452,09-06-24,banned
173,Kartika Heryani,kartika_hery@outlook.com,08390213261,27-06-2025,aktive
174,Umar Wijaya,umar.wijaya@mail.com,08290202061,05/03/2025,ACTIVE
175,Kartika Hamzah,kartika.hamzah@mail.com,08081371990,03-07-25,baned
177,Zaki Puspita,zaki_pusp@gmail.com,08506248935,04/01/2025,active
178,Candra Firmansyah,candra_firm@gmail.com,08292573749,10/05/2025,BANNED
179,Umar Kurniawan,umar.kurniawan@gmail.com,08764651013,31-07-2024,BANNED
180,Indra Aulia,indra180@hotmail.com,08234487974,18-05-2024,actve
181,Ani Putri,ani.put81@mail.com,08782467143,21/07/24,inactve
182,Fitri Maharani,fitri182@gmail.com,08135689491,24/07/2024,inactive
183,Oki Wijaya,oki_wija@yahoo.com,08069065395,2024-12-22,baned
184,Cici Santoso,c.santoso@gmail.com,08003299855,24-01-2025,Active
185,NANDO SETIADI,nando.setiadi@hotmail.com,08973947262,2024-10-30,baned
186,Rian Putri,rian.put86@yahoo.com,08953917151,2025-06-20,inactve
188,Eka Santoso,eka188@gmail.com,08565550411,18/01/2025,BANNED
189,Galih Firmansyah,galih.firmansyah@gmail.com,08437876021,23/08/2024,Active
190,Hendra Maulana,hendra190@yahoo.com,08342690516,2024-05-22,banned
191,Budi Rahmawati,b.rahmawati@mail.com,08514180534,2025-05-04,active
192,Putri Heryani,putri192@hotmail.com,08128553270,31/01/25,actve
193,Fajar Handayani,f.handayani@mail.com,08827154735,16/07/2024,Active
194,Maman Wibowo,maman.wibowo@hotmail.com,08507398247,16/10/24,BANNED
195,Lina Saputra,l.saputra@hotmail.com,08455357020,10/08/2024,BANNED
196,GALIH AULIA,galih_auli@outlook.com,08067483568,01-07-2024,aktive
197,Joko Hakim,joko_haki@outlook.com,08305192719,25/01/2025,inactve
199,Bella Santoso,bella.santoso@mail.com,08676157378,16-05-24,ACTIVE
200,dedi firmansyah,dedi200@gmail.com,08397579547,07/01/25,INACTIVE
201,Ani Aditya,ani.adi1@hotmail.com,08426561220,06/06/2025,INACTIVE
202,JIHAN PUTRI,jihan_putr@hotmail.com,08663498077,15/08/24,inactive
203,Hendra Heryani,hendra203@hotmail.com,08087477527,26-06-25,active
205,Wawan Hamzah,wawan205@hotmail.com,08889592630,25/09/2024,inactive
206,Jihan Hamzah,jihan.ham6@mail.com,08118569825,2024-09-30,banned
207,Dian Lestari,d.lestari@yahoo.com,08688935329,2024-12-29,ACTIVE
208,mila ramadhani,mila208@outlook.com,08935029134,25-05-25,inactve
210,Candra Yuliana,candra_yuli@hotmail.com,08273405902,23-06-25,Active
211,Mila Putri,mila.put11@outlook.com,08596835683,11-09-2024,active
212,indra anggraini,indra_angg@mail.com,08745638935,2024-11-08,inactive
213,kiki permana,kiki.permana@yahoo.com,08380792666,18/09/2024,active
214,Candra Putri,c.putri@mail.com,08494011647,2024-06-27,INACTIVE
215,Salsa Anggraini,salsa.ang15@mail.com,08427282807,08-12-2024,inactive
216,Umar Saputra,umar.sap16@mail.com,08006327321,2024-06-21,ACTIVE
217,HANI FIRMANSYAH,hani.firmansyah@yahoo.com,08716657504,02/02/25,Active
218,Kartika Aulia,k.aulia@hotmail.com,08773525306,14-07-24,actve
219,Umar Maharani,umar219@yahoo.com,08572243127,25/06/24,active
222,wawan Santoso,wawan.san22@outlook.com,08999252223,2024-07-26,banned
223,Putri Wibowo,putri.wib23@mail.com,08518234601,30/06/25,BANNED
224,intan setiadi,intan.set24@hotmail.com,08619934350,2025-01-21,active
225,Kartika Firmansyah,kartika.firmansyah@outlook.com,08400454224,28/08/24,aktive
226,wawan Hamzah,wawan_hamz@mail.com,08178916463,2025-05-03,baned
227,Kiki Permana,k.permana@gmail.com,08697016679,29/07/24,baned
228,salsa firmansyah,salsa228@yahoo.com,08392724671,28/01/2025,ACTIVE
229,Wawan Wibowo,wawan.wibowo@yahoo.com,08439800212,10/12/24,actve
230,MILA SIREGAR,m.siregar@hotmail.com,08092335029,14/06/24,banned
232,Salsa Kurniawan,salsa.kur32@mail.com,08509802386,16/05/24,actve
233,lukman maharani,lukman_maha@mail.com,08600669079,17/05/2025,INACTIVE
234,Fajar Setiadi,fajar.setiadi@yahoo.com,08836227788,03/10/24,ACTIVE
235,intan wijaya,intan.wij35@outlook.com,08838391810,07/10/2024,INACTIVE
236,Umar Hakim,umar_haki@outlook.com,08171633288,2025-01-02,BANNED
237,GANI ANGGRAINI,g.anggraini@hotmail.com,08343992812,05/10/24,INACTIVE
239,Hendra Santoso,hendra.san39@outlook.com,08505458590,23-05-24,BANNED
240,Maman Aditya,m.aditya@yahoo.com,08510545060,25-06-2025,actve
241,Yani Permana,y.permana@outlook.com,08386453863,15-09-2024,Active
243,kiki wijaya,k.wijaya@hotmail.com,08748524560,2025-01-13,banned
244,Intan Syahputra,intan.sya44@yahoo.com,08802147538,28-06-2024,aktive
245,yani Rahmawati,yani245@gmail.com,08614249720,18/02/2025,Active
246,Ani Puspita,ani246@outlook.com,08103237323,16-09-24,baned
247,UMAR YULIANA,umar247@outlook.com,08384931484,23-06-24,ACTIVE
248,Intan Handayani,intan248@mail.com,08518834091,10/02/2025,INACTIVE
249,Wawan Wibowo,wawan.wib49@yahoo.com,08279679949,22-01-2025,baned
250,SALSA ADITYA,s.aditya@outlook.com,08393703392,2024-11-19,banned
251,Intan Siregar,intan251@hotmail.com,08353172944,13/04/2025,active
252,Dian Yuliana,dian_yuli@mail.com,08495623675,03/12/24,inactve
256,Fitri Siregar,fitri256@hotmail.com,08737535573,2024-07-18,BANNED
257,Galih Ramadhani,galih.ramadhani@mail.com,08311389224,18-11-2024,INACTIVE
258,Mila Hamzah,mila258@gmail.com,08467092312,22-01-25,banned
259,Qori Ramadhani,qori.ramadhani@mail.com,08041184529,20-06-24,INACTIVE
260,Oki Hamzah,oki260@outlook.com,08902939726,12/09/24,actve
261,OKTA HAMZAH,okta261@gmail.com,08020962270,27/06/24,actve
262,Intan Firmansyah,intan.firmansyah@outlook.com,08468874492,10/07/24,banned
263,Nando Santoso,nando.santoso@yahoo.com,08032838012,28-04-2025,INACTIVE
265,Teguh Pratama,teguh_prat@outlook.com,08940520036,15-01-25,INACTIVE
266,JIHAN YULIANA,jihan.yul66@mail.com,08746453388,06-03-25,baned
267,Yani Santoso,yani_sant@outlook.com,08897481767,2024-08-12,banned
268,Fitri Maulana,fitri_maul@outlook.com,08491140664,12/10/24,INACTIVE
269,Dedi Puspita,dedi.pus69@yahoo.com,08020382987,25/07/2024,inactive
270,Eka Maulana,eka270@mail.com,08564449084,28/04/2025,ACTIVE
271,Asep Kusuma,asep_kusu@hotmail.com,08225367236,25-04-25,inactive
273,Nina Aditya,nina273@mail.com,08443851586,30/12/2024,actve
274,Erwin Puspita,erwin.pus74@yahoo.com,08080540832,23/11/24,Active
276,Maman Ramadhani,m.ramadhani@yahoo.com,08767993612,26/05/24,aktive
277,kartika kurniawan,kartika277@hotmail.com,08436863739,24/06/24,actve
278,bella Yuliana,b.yuliana@outlook.com,08873949859,20/09/2024,active
279,Yani Heryani,yani.her79@outlook.com,08947403050,03-08-2024,inactive
280,Vina Setiadi,vina280@hotmail.com,08620694837,06-07-25,inactive
281,Maman Hakim,maman.hak81@mail.com,08986373234,05-03-2025,Active
282,Qori Nugraha,qori_nugr@gmail.com,08657190903,22-10-24,ACTIVE
283,DIAN SIREGAR,d.siregar@outlook.com,08166189735,20-03-2025,ACTIVE
284,Maman Anggraini,maman_angg@yahoo.com,08221897723,28-06-2025,active
285,Erwin Ramadhani,erwin_rama@outlook.com,08010976074,03-09-2024,inactve
287,INDRA ANGGRAINI,indra.ang87@mail.com,08859827324,25/12/24,aktive
288,Asep Saputra,asep_sapu@gmail.com,08055743324,2024-08-29,inactve
290,Dian Setiadi,dian_seti@mail.com,08635889262,05/06/24,aktive
291,Lina Nugraha,lina291@hotmail.com,08685049593,2025-01-07,ACTIVE
292,Lukman Wijaya,lukman.wij92@outlook.com,08008544065,2024-11-26,ACTIVE
293,Ani Aulia,ani.aul93@gmail.com,08561824984,31-10-2024,inactive
294,NINA SANTOSO,nina.san94@outlook.com,08034923448,2024-11-18,aktive
295,Oki Pangestu,oki295@outlook.com,08586785869,12/06/2024,inactive
296,joko lestari,joko296@yahoo.com,08725223734,19/05/24,ACTIVE
298,Joko Hakim,joko_haki@hotmail.com,08222315923,17-05-2024,ACTIVE
299,dian Puspita,d.puspita@mail.com,08435257362,17-02-2025,aktive
300,Dedi Lestari,d.lestari@mail.com,08901328038,30/06/24,Active
301,PUTRI WIJAYA,putri.wij1@yahoo.com,08492374878,27-05-2025,BANNED
302,Kartika Handayani,kartika_hand@outlook.com,08523514596,22/02/25,INACTIVE
303,Jihan Kusuma,jihan.kus3@outlook.com,08952625253,26/06/2025,actve
304,Yani Puspita,yani304@outlook.com,08495834640,2025-04-14,inactive
305,ANI SAPUTRA,ani_sapu@hotmail.com,08684036097,10-12-24,ACTIVE
307,Oki Anggraini,oki.anggraini@hotmail.com,08217023789,26-05-2024,INACTIVE
309,MILA NUGRAHA,mila.nug9@outlook.com,08928043707,01/06/25,ACTIVE
310,Nando Hamzah,n.hamzah@outlook.com,08610281504,06-06-2025,active
311,gani ramadhani,gani.ramadhani@gmail.com,08094646386,29-06-2025,inactve
312,Nina Maulana,nina.maulana@gmail.com,08509401309,20-11-2024,active
313,Zaki Firmansyah,zaki.firmansyah@mail.com,08069125732,21/07/24,ACTIVE
314,Fajar Handayani,fajar.han14@gmail.com,08801698164,16-07-24,inactve
315,ANI LESTARI,ani.les15@hotmail.com,08251924218,20/06/25,actve
316,Galih Hakim,galih.hakim@hotmail.com,08668218858,2024-11-06,banned
317,Indra Pangestu,indra317@outlook.com,08297065940,19-05-25,actve
318,dian saputra,dian_sapu@hotmail.com,08849117234,18-05-2024,BANNED
320,Rian Permana,rian.permana@mail.com,08709371118,18-03-2025,active
321,SALSA PERMANA,salsa321@hotmail.com,08625184633,23/01/25,actve
322,Joko Syahputra,j.syahputra@gmail.com,08417963868,2025-06-03,active
324,Umar Wibowo,umar_wibo@yahoo.com,08934445706,25/10/2024,baned
325,salsa firmansyah,salsa.fir25@outlook.com,08405224026,14/08/2024,active
326,Kiki Saputra,k.saputra@hotmail.com,08928422134,08-01-25,banned
327,Bella Firmansyah,bella.fir27@mail.com,08381069417,09/10/24,baned
328,Erwin Setiadi,e.setiadi@gmail.com,08580218398,29-04-25,actve
329,Okta Pangestu,okta.pangestu@gmail.com,08964322325,14-05-25,inactive
331,intan Puspita,intan.puspita@outlook.com,08181037628,04/02/2025,inactve
332,candra Rahmawati,candra_rahm@outlook.com,08969860347,13/10/24,banned
333,Maman Puspita,maman_pusp@outlook.com,08240387234,2024-06-20,ACTIVE
334,Mila Syahputra,mila334@gmail.com,08560957765,26-10-2024,aktive
335,Umar Hamzah,umar.hamzah@hotmail.com,08485308741,14/05/2024,ACTIVE
336,jihan kurniawan,jihan336@gmail.com,08905766372,2024-10-07,aktive
337,Okta Santoso,okta.san37@hotmail.com,08596847343,23/03/25,inactive
338,Erwin Maharani,erwin338@yahoo.com,08146771267,2024-12-16,inactve
339,Eka Santoso,eka339@yahoo.com,08916353123,06/06/25,INACTIVE
342,Indra Santoso,indra342@outlook.com,08214077961,16-11-24,banned
343,indra Gunawan,indra343@gmail.com,08854109513,03/08/2024,inactve
344,Eka Nugraha,eka.nugraha@gmail.com,08321275621,2025-05-26,inactive
345,Wawan Anggraini,w.anggraini@gmail.com,08108621893,30/12/24,actve
346,Budi Heryani,b.heryani@gmail.com,08200810888,14/05/2024,inactve
347,Galih Ramadhani,g.ramadhani@gmail.com,08062510233,29-06-2025,banned
348,Hani Kusuma,hani.kus48@hotmail.com,08583190973,29/07/24,active
349,Zaki Putri,zaki349@mail.com,08111419858,26-05-2024,inactive
350,Dian Ramadhani,dian.ram50@yahoo.com,08840816277,18-05-25,ACTIVE
351,Erwin Anggraini,erwin.anggraini@yahoo.com,08446049561,02/07/2025,banned
353,lina hamzah,l.hamzah@mail.com,08730220251,30-11-2024,Active
354,Maman Pratama,m.pratama@hotmail.com,08206121041,25-10-24,inactive
355,Jihan Putri,jihan.put55@outlook.com,08318230743,15-07-2024,baned
356,Fitri Setiadi,fitri_seti@outlook.com,08809741971,04/03/25,inactive
358,Wawan Saputra,wawan.sap58@mail.com,08690154266,2024-07-12,inactive
359,Nando Yuliana,nando.yul59@mail.com,08523020836,2024-07-10,BANNED
360,Candra Lestari,candra.lestari@gmail.com,08151816406,08/07/2024,ACTIVE
361,lina rahmawati,lina361@outlook.com,08776748189,10/09/2024,active
362,Yani Rahmawati,yani362@mail.com,08838035895,31/05/25,active
364,Qori Siregar,qori_sire@mail.com,08923300450,28-10-2024,aktive
365,Vina Handayani,vina.handayani@outlook.com,08789475887,03-08-2024,ACTIVE
366,GALIH HANDAYANI,galih_hand@mail.com,08111595410,18-06-25,banned
367,Cici Anggraini,cici.ang67@outlook.com,08576527552,01-05-25,inactive
368,Joko Anggraini,joko.ang68@outlook.com,08420283427,2025-01-18,inactive
369,Dedi Ramadhani,dedi369@gmail.com,08040384596,28/02/2025,inactve
370,Galih Setiadi,g.setiadi@gmail.com,08319363135,2024-06-27,inactive
371,Hani Lestari,hani.lestari@gmail.com,08729368432,15-02-25,inactive
372,Lukman Permana,lukman_perm@gmail.com,08053830803,2024-09-11,aktive
373,RIAN HERYANI,rian.her73@outlook.com,08376672404,07/03/25,baned
375,Cici Saputra,cici.saputra@gmail.com,08325168425,03/08/2024,BANNED
376,Candra Lestari,candra376@mail.com,08793107620,20-09-2024,inactve
377,Fajar Lestari,fajar_lest@hotmail.com,08247236244,03-11-24,INACTIVE
378,umar rahmawati,umar.rahmawati@outlook.com,08447835995,07-12-24,INACTIVE
379,QORI ADITYA,qori.adi79@hotmail.com,08185642076,21/09/2024,inactve
380,Yani Kusuma,yani.kus80@yahoo.com,08948699737,06/07/24,baned
381,Budi Kusuma,b.kusuma@gmail.com,08515101616,13/08/24,active
382,Okta Aulia,okta_auli@gmail.com,08770719727,2024-07-21,actve
383,Asep Kusuma,asep383@hotmail.com,08163192252,28/02/2025,ACTIVE
384,Fitri Saputra,fitri384@mail.com,08843232792,2024-05-25,inactive
386,Lina Syahputra,l.syahputra@mail.com,08182799844,07/03/25,inactive
387,Ani Saputra,ani387@hotmail.com,08261922105,25-09-24,aktive
388,dedi maharani,dedi.mah88@hotmail.com,08049993178,28/09/24,BANNED
389,Bella Putri,bella.put89@outlook.com,08714996164,2025-01-30,actve
390,Nina Pangestu,n.pangestu@hotmail.com,08234523013,2025-06-06,banned
392,UMAR PUSPITA,umar.pus92@outlook.com,08357705691,19-06-2024,BANNED
393,Oki Setiadi,oki.set93@yahoo.com,08757714478,01-07-25,baned
394,lukman santoso,l.santoso@outlook.com,08275218333,2025-04-25,baned
395,Vina Heryani,vina.her95@gmail.com,08761010291,01/01/2025,active
397,Lina Hamzah,lina_hamz@yahoo.com,08486183769,2025-03-27,banned
398,PUTRI KUSUMA,putri_kusu@yahoo.com,08202130748,04-05-25,active
399,BELLA HAMZAH,bella.ham99@outlook.com,08523017840,05-12-2024,INACTIVE
400,Dian Wijaya,dian.wijaya@mail.com,08854218979,2024-12-01,BANNED
401,lina rahmawati,l.rahmawati@outlook.com,08093212462,06-01-2025,active
402,Fajar Wibowo,fajar.wibowo@outlook.com,08264544431,21-09-24,inactve
403,Galih Anggraini,galih_angg@gmail.com,08977763959,20/08/2024,aktive
404,Jihan Rahmawati,j.rahmawati@outlook.com,08441154889,31/05/2025,actve
405,qori aditya,qori405@gmail.com,08893952405,04-08-24,BANNED
406,Maman Gunawan,maman406@gmail.com,08346942887,10-11-2024,actve
409,Kartika Lestari,kartika_lest@yahoo.com,08142365136,10/12/2024,inactve
411,Budi Ramadhani,budi.ramadhani@gmail.com,08732138649,25/02/25,baned
412,Lina Setiadi,lina.set12@hotmail.com,08011592782,2025-01-04,baned
413,Asep Setiadi,asep.set13@outlook.com,08798602821,03-12-2024,BANNED
414,budi yuliana,b.yuliana@hotmail.com,08348680520,2024-09-15,banned
415,nina Handayani,nina.handayani@hotmail.com,08381998328,23-03-2025,ACTIVE
416,lina Kusuma,l.kusuma@gmail.com,08799098339,28-06-25,actve
417,Intan Yuliana,i.yuliana@hotmail.com,08513546530,30-09-24,Active
419,Dedi Firmansyah,dedi.firmansyah@outlook.com,08508849836,05/05/2025,Active
